2/24/19 3:52,b'@VijayWriter @anandmahindra @KTRTRS @HiHyderabad I like the idea but still he needs ths Helmet.\n\nSafety First. \n\n@musharraf_ias @Khaleeqrahman @hydcitypolice @HYDTP',Suggestion,NS
2/24/19 3:46,"b""@IndiaPostOffice @AmazonHelp @TelanganaDGP @hydcitypolice sir @AmazonHelp  is cheating openly how can i file a fir as you can see @IndiaPostOffice provided  proof of delivery with a stamp of amazon fulfilment centre now they are saying that they haven't received https://t.co/04Jv5nHA9K""",Fraud,S
2/24/19 3:34,b'@hydcitypolice Good work sir !!!',Appreciation,NS
2/24/19 1:38,"b""@IPS_TEJA @arvindkumar_ias @CommissionrGHMC @GHMCOnline @shopanjagutta @hydcitypolice @TelanganaDGP @CPHydCity @FacHyd__ @VijayGopal_ Even District Courts Complex Ranga Reddy , L.B.Nagar charges parking fees for Litigants. Free parking only  for Advocates . Daily 1000's of 2 Wheelers and 100's of cars are charged for Parking .""",Traffic,S
2/24/19 1:34,"b'@hydcitypolice Great sir ,my telangana police is great'",Appreciation,S
2/23/19 23:23,b'@ANI @timesofindia @republic @SushmaSwaraj @hydcitypolice what are we doing for violating visa norms https://t.co/PvTJOIatKP',Suggestion,NS
2/23/19 22:26,b'@Harish_goutham @geetmh @HYDTP @hydcitypolice I think #Gujarat govt tried to enforce this law to limit number of children in such vehicles but it bumped up the transportation costs so didn\xe2\x80\x99t fly with the parents and the govt ended up withdrawing',Suggestion,NS
2/23/19 18:48,"b""It's 12:15AM and a baraat is playing #loudmusic near Majestic Mansion, Begumpet next to Varun Motors service centre. Pls. Take action sir @hydcitypolice @CPHydCity @shobegumpet @shops""",Traffic,NS
2/23/19 18:19,"b'@hydcitypolice @cyberabadpolice @cpcybd \n\nSir, Loud band music at Raod No.5 Krishna Nagar Colony Moula Ali \n\nIts 11:47 night ... it\xe2\x80\x99s distrubing a lot \n\nPls look into it'",Community Action,S
2/23/19 17:14,"b'@hydcitypolice sir, it is a marriage season and a request to you, plz monitor the surveillance cameras as the public examinations are approaching the sound of the DJs playing beyond the permissible time with high volume do disturb the students.'",Community Action,S
2/23/19 16:50,b'@hydcitypolice Take some punitive actions against auto mobile vendors who are disturbing the peaceful atmosphere of residential area by using load speakers day in and day out.',Traffic,S
2/23/19 16:47,b'@hydcitypolice What about using loud speakers in the residential colonies making the life of residents miserable....',Suggestion,NS
2/23/19 16:43,"b""Just Wondering does police comes under common people or not..if police doesn't follow the rules, how come common people follow. Please take necessary action on TS12EE5648.. @hydcitypolice @HYDTP https://t.co/XcNozYu4Y3""",Police Dissactisfaction,S
2/23/19 16:19,"b'@sunitha_simon @HYDTP @hydcitypolice @HiHyderabad LED lights are being said low bill &amp; long lasting by govt &amp; others and using everywhere but not only #Hyderabad  yes, they are eye blurring when see at !'",Suggestion,NS
2/23/19 14:39,"b'@HMOIndia @SushmaSwaraj @hydcitypolice @cyberabadpolice Foreigners openly preaching Christianity on the streets of Hyderabad let off without being arrested for violating visa norms. This is dereliction of duty. @KTRoffice Sir, this needs your attention as well. Thanks! https://t.co/Q3YxVgNRJk'",Community Action,S
2/23/19 12:56,"b""@SushmaSwaraj @hydcitypolice sir/madam please take serious action who is miss using Visiting visa. Foreigns are Visiting the India on Visiting Visa and doing illegal activities like conversions of religion sir/madam please take the action it's a humble requesting you thank you https://t.co/HiwwNxcT3z""",Community Action,S
2/23/19 12:43,"b""The load almost fell from Auto ...\nMore shocking there was half dozen traffic police man..at Naya pul around 4 o'clock..@hydcitypolice https://t.co/39ngOWRAcf""",Traffic,S
2/23/19 12:14,b'Parking charges are collecting at Madanna mandi. Request you to look into this.@CommissionrGHMC @hydcitypolice',Traffic,S
2/23/19 12:07,b'Is it the Auto driver who is to be blamed or is it the parents who are ok with this ?\n@HYDTP @hydcitypolice https://t.co/YaOWxg1B7f',Traffic,NS
2/23/19 11:39,"b'@hydcitypolice Sir, Please check it , is this Fake news  or Real ? @TelanganaDGP https://t.co/BlpF3FSbp4'",Query,S
2/23/19 10:47,"b'@hydcitypolice In all the lanes and bylanes ppl park big cars n two wheelers n block d 40 ft wide roads, ppl erect tents, ganesh/Durga pandals up 15 to20dy'",Traffic,NS
2/23/19 10:20,b'Member of Parliament does not need number plate. No law for MPs ?\n\nAt Tank bund road. @hydcitypolice @HYDTP https://t.co/pe1QV3nHlN',Traffic,S
2/23/19 9:21,b'@hydcitypolice https://t.co/4ZRac0bGXf please take action against this girl she abusing a muslim girl and break her phone @asadowaisi @AzrBegum @TelanganaCMO',Community Action,S
2/23/19 9:16,b'@shochaderghat @hydcitypolice Happiest moment of parents and kids.\nGood job POLICE OFFICERS',Appreciation,NS
